004130305753,ESSEVRYDY,CANDY ORANGE SLICE,8,40   OZ,01/15/2017,22.79,1.0,22.8,0.01,0.00,,,22.79,22.79,22.79,,,0.96,0.96,0.96,N,N
004130305754,ESSEVRYDY,CANDY SPICE DROPS,8,40   OZ,01/15/2017,22.79,1.0,22.8,0.01,0.00,,,22.79,22.79,22.79,,,0.96,0.96,0.96,N,N
004130305755,ESSEVRYDY,CANDY GUMMI BEARS,8,36   OZ,01/15/2017,28.79,1.0,28.8,0.01,0.00,,,28.79,28.79,28.79,,,0.96,0.96,0.96,N,N
004130305756,ESSEVRYDY,CANDY GUMMI WORMS,8,36   OZ,01/15/2017,28.79,1.0,28.8,0.01,0.00,,,28.79,28.79,28.79,,,0.96,0.96,0.96,N,N
004130305757,ESSEVRYDY,SOUR GUMMI WORMS,8,32   OZ,01/15/2017,28.79,1.0,28.8,0.01,0.00,,,28.79,28.79,28.79,,,0.96,0.96,0.96,N,N
004130305758,ESSEVRYDY,GUMMI PEACH RINGS,8,32   OZ,01/15/2017,28.79,1.0,28.8,0.01,0.00,,,28.79,28.79,28.79,,,0.96,0.96,0.96,N,N
004130306751,ESSEVRYDY,PANKO BRDCRMB SSND,12,13   OZ,01/08/2017,17.27,1.0,17.28,0.01,0.00,,17.27,17.27,17.27,17.27,,,,,,N,N
004450033905,HILLSHIRE,SMKD BEEF SSG ROPE,18,12OZ,01/22/2017,59.76,0.9,63.77,4.01,0.22,,,29.88,59.76,59.76,29.88,23.27,23.27,23.27,,N,N
081284602001,GOPO,ROSEHIP CAPS,1,120  CT,02/19/2017,15.0,0.9,16.15,1.15,1.15,,,,5.0,5.0,5.0,5.0,15.0,15.0,15.0,N,N
085257900424,ENERGEMS,DRK CHOCOLATE GEMS,4,21   CT,02/19/2017,16.00,0.9,18.2,2.20,0.55,8.0,,,8.00,8.00,8.00,8.00,16.00,8.0,8.0,N,N
085257900426,ENERGEMS,DK CHOC BERRY GEMS,4,21   CT,02/19/2017,16.00,0.9,18.2,2.20,0.55,8.0,,,8.00,8.00,8.00,8.00,16.00,8.0,8.0,N,N
002270057842,COVERGIRL,CLEAN GLOW BLUSH,2,.4   OZ,02/19/2017,1.38,0.8,1.71,0.33,0.17,,,,,,,,1.38,1.38,1.38,N,N
007431264749,NATURES B,ENRGY CMP GUMMIES,3,60   CT,02/26/2017,10.35,0.8,13.02,2.67,0.89,,,,,,,,,10.35,10.35,N,N
072225226144,CLIF BAR,TRL MX BAR D-CH PB,12,1.41 OZ,02/19/2017,11.52,0.8,14.52,3.00,0.25,,,,5.76,5.76,5.76,5.76,11.52,5.76,5.76,N,N
075365671289,THINKTHIN,HP BAR CUPCK BATTR,10,1.41 OZ,01/01/2017,8.7,0.8,11,2.30,0.23,8.7,8.7,8.7,8.7,,,,,,,N,N
002420008999,PUREX,CRYSTLS LVNDR BLSM,6,18   OZ,01/01/2017,14.06,0.8,18.48,4.42,0.74,14.06,4.0,4.0,4.0,,,,,4.08,4.08,N,N
002420008996,PUREX,CRYSTLS SPRNG WTR,6,18   OZ,01/01/2017,14.06,0.8,18.48,4.42,0.74,14.06,4.0,4.0,4.0,,,,,4.08,4.08,N,N
003076813430,SUNDOWN,BIOTIN 5000MCG,3,60CT,02/19/2017,14.78,0.7,20.16,5.38,1.79,,,,,,,,14.78,14.78,14.78,N,N
007065000404,HONEES,CGH DROPS HNY LMN,12,20   CT,01/22/2017,12.0,0.7,16.8,4.80,0.40,,,,12.0,12.0,12.0,12.0,12.0,,,N,N
007065000403,HONEES,COUGH DROPS HONEY,12,20   CT,01/22/2017,12.0,0.7,16.8,4.80,0.40,,,,12.0,12.0,12.0,12.0,12.0,,,N,N
